abs_url,arxiv_id,authors,direction,direction_meaning,download_ok,local_pdf,pdf_url,published,summary,title
https://arxiv.org/abs/2504.08125,2504.08125,,text_to_3d_eval,Text/Image-to-3D 端到端评测、prompt benchmark、VLM judge。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/text_to_3d_eval/2504.08125.pdf,https://arxiv.org/pdf/2504.08125,,,Gen3DEval: Using vLLMs for Automatic Evaluation of Generated 3D Objects
https://arxiv.org/abs/2310.02977,2310.02977,,text_to_3d_eval,Text/Image-to-3D 端到端评测、prompt benchmark、VLM judge。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/text_to_3d_eval/2310.02977.pdf,https://arxiv.org/pdf/2310.02977,,,T3Bench: Benchmarking Current Progress in Text-to-3D Generation
https://arxiv.org/abs/2401.04092,2401.04092,,text_to_3d_eval,Text/Image-to-3D 端到端评测、prompt benchmark、VLM judge。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/text_to_3d_eval/2401.04092.pdf,https://arxiv.org/pdf/2401.04092,,,GPT-4V as a Human-Aligned Evaluator for Text-to-3D Generation
https://arxiv.org/abs/2504.18509,2504.18509,,text_to_3d_eval,Text/Image-to-3D 端到端评测、prompt benchmark、VLM judge。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/text_to_3d_eval/2504.18509.pdf,https://arxiv.org/pdf/2504.18509,,,Eval3D: Interpretable and Fine-grained Evaluation for 3D Generation
https://arxiv.org/abs/2212.08751,2212.08751,,text_to_3d_eval,Text/Image-to-3D 端到端评测、prompt benchmark、VLM judge。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/text_to_3d_eval/2212.08751.pdf,https://arxiv.org/pdf/2212.08751,,,Point-E: A System for Generating 3D Point Clouds from Complex Prompts
https://arxiv.org/abs/2209.14988,2209.14988,,text_to_3d_eval,Text/Image-to-3D 端到端评测、prompt benchmark、VLM judge。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/text_to_3d_eval/2209.14988.pdf,https://arxiv.org/pdf/2209.14988,,,DreamFusion: Text-to-3D using 2D Diffusion
https://arxiv.org/abs/2211.10440,2211.10440,,text_to_3d_eval,Text/Image-to-3D 端到端评测、prompt benchmark、VLM judge。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/text_to_3d_eval/2211.10440.pdf,https://arxiv.org/pdf/2211.10440,,,Magic3D: High-Resolution Text-to-3D Content Creation
https://arxiv.org/abs/2303.11328,2303.11328,,text_to_3d_eval,Text/Image-to-3D 端到端评测、prompt benchmark、VLM judge。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/text_to_3d_eval/2303.11328.pdf,https://arxiv.org/pdf/2303.11328,,,Fantasia3D: Disentangling Geometry and Appearance for High-quality Text-to-3D Content Creation
https://arxiv.org/abs/2306.17843,2306.17843,,text_to_3d_eval,Text/Image-to-3D 端到端评测、prompt benchmark、VLM judge。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/text_to_3d_eval/2306.17843.pdf,https://arxiv.org/pdf/2306.17843,,,ProlificDreamer: High-Fidelity and Diverse Text-to-3D Generation with Variational Score Distillation
https://arxiv.org/abs/2403.02151,2403.02151,,text_to_3d_eval,Text/Image-to-3D 端到端评测、prompt benchmark、VLM judge。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/text_to_3d_eval/2403.02151.pdf,https://arxiv.org/pdf/2403.02151,,,TripoSR: Fast 3D Object Reconstruction from a Single Image
https://arxiv.org/abs/1707.02392,1707.02392,,point_cloud_generation_metrics,有参考分布或点云输出时的 CD/EMD/MMD/Coverage/1-NNA/JSD。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/point_cloud_generation_metrics/1707.02392.pdf,https://arxiv.org/pdf/1707.02392,,,Learning Representations and Generative Models for 3D Point Clouds
https://arxiv.org/abs/1810.05795,1810.05795,,point_cloud_generation_metrics,有参考分布或点云输出时的 CD/EMD/MMD/Coverage/1-NNA/JSD。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/point_cloud_generation_metrics/1810.05795.pdf,https://arxiv.org/pdf/1810.05795,,,PointFlow: 3D Point Cloud Generation with Continuous Normalizing Flows
https://arxiv.org/abs/2106.05304,2106.05304,,point_cloud_generation_metrics,有参考分布或点云输出时的 CD/EMD/MMD/Coverage/1-NNA/JSD。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/point_cloud_generation_metrics/2106.05304.pdf,https://arxiv.org/pdf/2106.05304,,,Diffusion Probabilistic Models for 3D Point Cloud Generation
https://arxiv.org/abs/2103.01458,2103.01458,,point_cloud_generation_metrics,有参考分布或点云输出时的 CD/EMD/MMD/Coverage/1-NNA/JSD。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/point_cloud_generation_metrics/2103.01458.pdf,https://arxiv.org/pdf/2103.01458,,,ShapeGF: Learning Generative Shape Priors for 3D Shape Completion and Reconstruction
https://arxiv.org/abs/2203.01424,2203.01424,,point_cloud_generation_metrics,有参考分布或点云输出时的 CD/EMD/MMD/Coverage/1-NNA/JSD。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/point_cloud_generation_metrics/2203.01424.pdf,https://arxiv.org/pdf/2203.01424,,,LION: Latent Point Diffusion Models for 3D Shape Generation
https://arxiv.org/abs/2212.08751,2212.08751,,point_cloud_generation_metrics,有参考分布或点云输出时的 CD/EMD/MMD/Coverage/1-NNA/JSD。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/point_cloud_generation_metrics/2212.08751.pdf,https://arxiv.org/pdf/2212.08751,,,Point-E: A System for Generating 3D Point Clouds from Complex Prompts
https://arxiv.org/abs/2305.16213,2305.16213,,point_cloud_generation_metrics,有参考分布或点云输出时的 CD/EMD/MMD/Coverage/1-NNA/JSD。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/point_cloud_generation_metrics/2305.16213.pdf,https://arxiv.org/pdf/2305.16213,,,Shap-E: Generating Conditional 3D Implicit Functions
https://arxiv.org/abs/1906.12320,1906.12320,,point_cloud_generation_metrics,有参考分布或点云输出时的 CD/EMD/MMD/Coverage/1-NNA/JSD。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/point_cloud_generation_metrics/1906.12320.pdf,https://arxiv.org/pdf/1906.12320,,,Occupancy Networks: Learning 3D Reconstruction in Function Space
https://arxiv.org/abs/2002.08397,2002.08397,,point_cloud_generation_metrics,有参考分布或点云输出时的 CD/EMD/MMD/Coverage/1-NNA/JSD。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/point_cloud_generation_metrics/2002.08397.pdf,https://arxiv.org/pdf/2002.08397,,,Diverse and Plausible 3D Shape Completions from Ambiguous Depth Images
https://arxiv.org/abs/2104.02602,2104.02602,,point_cloud_generation_metrics,有参考分布或点云输出时的 CD/EMD/MMD/Coverage/1-NNA/JSD。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/point_cloud_generation_metrics/2104.02602.pdf,https://arxiv.org/pdf/2104.02602,,,Score-Based Point Cloud Denoising
https://arxiv.org/abs/2202.02397,2202.02397,,mesh_texture_quality,mesh 清洁度、拓扑、法线、纹理质量、可用性门禁。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/mesh_texture_quality/2202.02397.pdf,https://arxiv.org/pdf/2202.02397,,,Textured Mesh Quality Assessment
https://arxiv.org/abs/2302.01560,2302.01560,,mesh_texture_quality,mesh 清洁度、拓扑、法线、纹理质量、可用性门禁。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/mesh_texture_quality/2302.01560.pdf,https://arxiv.org/pdf/2302.01560,,,MeshDiffusion: Score-based Generative 3D Mesh Modeling
https://arxiv.org/abs/2206.07695,2206.07695,,mesh_texture_quality,mesh 清洁度、拓扑、法线、纹理质量、可用性门禁。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/mesh_texture_quality/2206.07695.pdf,https://arxiv.org/pdf/2206.07695,,,GET3D: A Generative Model of High Quality 3D Textured Shapes
